rec_id,role,name
432,associated,chlorite
432,associated,cummingtonite
432,associated,anthophyllite
432,associated,goethite
432,associated,hematite
432,associated,magnetite
434,asbestos,chrysotile
434,asbestos,anthophyllite
434,associated,antigorite
434,associated,chlorite
434,associated,enstatite
434,associated,talc
435,asbestos,anthophyllite
435,associated,antigorite
435,associated,chlorite
435,associated,enstatite
435,associated,talc
436,asbestos,anthophyllite
436,associated,talc
436,associated,chlorite
436,associated,actinolite
437,asbestos,chrysotile
437,asbestos,anthophyllite
437,associated,talc
437,associated,olivine
437,associated,chlorite
438,asbestos,anthophyllite
438,associated,talc
438,associated,clay
438,associated,chlorite
438,associated,corundum
438,associated,margarite
439,associated,talc
440,associated,talc
441,asbestos,anthophyllite
441,associated,olivine
441,associated,actinolite
441,associated,magnesite
441,associated,talc
441,associated,chlorite
441,associated,serpentine
441,associated,magnetite
441,associated,chromite
442,associated,talc
443,asbestos,anthophyllite
443,associated,talc
443,associated,chlorite
444,asbestos,anthophyllite
444,associated,talc
444,associated,dolomite
444,associated,chlorite
444,associated,serpentine
444,associated,magnetite
444,associated,pyrite
445,asbestos,anthophyllite
445,associated,olivine
445,associated,serpentine
446,asbestos,anthophyllite
446,associated,talc
446,associated,chlorite
447,asbestos,anthophyllite
447,associated,talc
447,associated,corundum
447,associated,chlorite
447,associated,limonite
447,associated,magnetite
448,asbestos,anthophyllite
448,associated,talc
448,associated,olivine
449,associated,talc
451,asbestos,chrysotile
451,associated,garnet
452,asbestos,chrysotile
452,associated,antigorite
452,associated,talc
453,asbestos,anthophyllite
454,asbestos,anthophyllite
454,associated,talc
455,asbestos,anthophyllite
455,associated,talc
455,associated,chlorite
455,associated,olivine
456,asbestos,anthophyllite
456,associated,talc
456,associated,vermiculite
457,asbestos,anthophyllite
458,associated,enstatite
458,associated,olivine
459,asbestos,anthophyllite
459,associated,talc
459,associated,chlorite
459,associated,serpentine
459,associated,magnetite
460,asbestos,anthophyllite
460,associated,olivine
460,associated,diopside
460,associated,antigorite
460,associated,corundum
460,associated,talc
460,associated,vermiculite
460,associated,chromite
461,associated,olivine
462,asbestos,anthophyllite
463,asbestos,anthophyllite
463,associated,vermiculite
463,associated,chlorite
464,asbestos,anthophyllite
464,associated,olivine
464,associated,magnetite
464,associated,chromite
464,associated,"tremolite or cummingtonite"
464,associated,magnesite
464,associated,chlorite
464,associated,talc
465,associated,talc
466,asbestos,anthophyllite
466,associated,vermiculite
466,associated,olivine
466,associated,enstatite
467,asbestos,anthophyllite
467,associated,talc
467,associated,chlorite
467,associated,corundum
468,asbestos,anthophyllite
468,associated,talc
468,associated,chlorite
468,associated,vermiculite
469,asbestos,anthophyllite
469,associated,corundum
469,associated,chlorite
469,associated,talc
469,associated,olivine
469,associated,serpentine
469,associated,amphibole
469,associated,magnetite
470,asbestos,anthophyllite
470,associated,corundum
470,associated,olivine
470,associated,serpentine
470,associated,talc
470,associated,vermiculite
471,associated,talc
471,associated,corundum
471,associated,serpentine
472,asbestos,anthophyllite
472,associated,chlorite
472,associated,olivine
472,associated,serpentine
472,associated,vermiculite
472,associated,talc
473,asbestos,chrysotile
473,asbestos,anthophyllite
473,associated,antigorite
473,associated,olivine
473,associated,enstatite
473,associated,chromite
473,associated,magnetite
473,associated,talc
473,associated,chlorite
473,associated,anorthite
473,associated,rutile
473,associated,tourmaline
473,associated,allanite
473,associated,apatite
473,associated,zoisite
473,associated,biotite
473,associated,vermiculite
473,associated,actinolite
473,associated,corundum
473,associated,hornblende
473,associated,epidote
474,asbestos,anthophyllite
474,associated,serpentine
474,associated,actinolite
474,associated,tremolite
474,associated,talc
474,associated,chromite
475,asbestos,anthophyllite
475,associated,olivine
475,associated,clinochlore
475,associated,talc
476,asbestos,chrysotile
476,associated,serpentine
477,asbestos,chrysotile
478,associated,talc
479,asbestos,anthophyllite
479,associated,talc
480,asbestos,tremolite
481,asbestos,chrysotile
481,associated,picrolite
481,associated,williamsite
481,associated,antigorite
481,associated,talc
481,associated,psilomelane
482,asbestos,anthophyllite
482,associated,rutile
483,asbestos,anthophyllite
483,associated,talc
483,associated,actinolite-tremolite
483,associated,chlorite
483,associated,magnetite
484,asbestos,tremolite
485,asbestos,chrysotile
486,asbestos,actinolite
488,asbestos,chrysotile
488,associated,serpentine
488,associated,magnesite
488,associated,opal
488,associated,deweylite
488,associated,chalcedony
488,associated,quartz
488,associated,calcite
488,associated,chromite
488,associated,rutile
488,associated,garnierite
488,associated,chlorite
488,associated,dolomite
488,associated,limonite
488,associated,magnetite
489,asbestos,chrysotile
489,associated,chromite
489,associated,talc
489,associated,kammererite
489,associated,"chromian antigorite"
489,associated,serpentine
489,associated,rhodochrome
489,associated,brucite
489,associated,magnesite
489,associated,limonite
489,associated,williamsite
489,associated,picrolite
489,associated,baltimorite
489,associated,chalcedony
490,associated,quartz
490,associated,chalcedony
490,associated,opal
490,associated,magnetite
490,associated,hematite
490,associated,tourmaline
490,associated,graphite
490,associated,jasper
490,associated,pyrolusite
490,associated,goethite
490,associated,chromite
490,associated,deweylite
490,associated,magnesite
490,associated,marmolite
490,associated,bronzite
490,associated,enstatite
490,associated,talc
491,asbestos,chrysotile
491,asbestos,anthophyllite
491,associated,talc
491,associated,antigorite
491,associated,vermiculite
491,associated,actinolite
491,associated,ankerite
491,associated,dolomite
491,associated,calcite
491,associated,chlorite
491,associated,chromite
491,associated,magnesite
491,associated,limonite
492,associated,actinolite
492,associated,talc
492,associated,epidote
492,associated,smaragdite
