rec_id,citation,ref_id
326,"Stewart (1956, p. 13-14)",241
327,"Wilson (1928, p. 57-58)",251
327,"Stewart (1956, p. 12-13)",241
328,"Stewart (1956, p. 23)",241
329,"Stewart (1955, p. 22-27)",240
330,"Stewart (1955, p. 42-45)",240
330,"Moore (1968, p. 49)",226
331,"Stewart (1955, p. 34-35)",240
331,"Harrer (1964, p. 34-35)",214
332,"Stewart (1956, p. 30-32)",241
333,"Stewart (1955, p. 49-50)",240
333,"Stewart (1956, p. 28-30)",241
334,"Stewart (1955, p. 63-64)",240
334,"Bromfield and Shride (1956, p. 650-652)",199
335,"Stewart (1955, p. 53-56)",240
335,"Bromfield and Shride (1956, p. 661-663)",199
336,"Wilson (1928, p. 60-61)",251
336,"Stewart (1955, p. 62-63)",240
336,"Bromfield and Shride (1956, p. 658-661)",199
337,"Stewart (1955, p. 61-62)",240
338,"Bromfield and Shride (1956, p. 652-653)",199
339,"Stewart (1955, p. 56-59)",240
339,"Bromfield and Shride (1956, p. 656-658)",199
340,"Wilson (1928, p. 55-56)",251
340,"U.S. Bureau of Mines (1945a, p. 16)",244
340,"U.S. Bureau of Mines (1945d)",247
340,"Stewart and Haury (1947, p. 18-20)",243
341,"Stewart (1956, p. 14-15)",241
342,"Wilson (1928, p. 58-60)",251
342,"Stewart (1955, p. 59-61)",240
342,"Bromfield and Shride (1956, p. 653-656)",199
343,"Wilson (1928, p. 60)",251
344,"Stewart (1956, p. 22-23)",241
345,"Bromfield and Shride (1956, p. 664)",199
346,"Bateman (1923)",197
346,"Melhase (1925)",222
346,"Wilson (1928, p. 66-72)",251
346,"Stewart (1955, p. 64-67)",240
347,"Bromfield and Shride (1956, p. 653)",199
348,"Wilson (1928, p. 84)",251
348,"Stewart (1956, p. 36-37)",241
349,"Stewart (1956, p. 23-25)",241
350,"Wilson (1928, p. 83-84)",251
350,"Stewart (1955, p. 83-84)",240
351,"Stewart (1956, p. 16-22)",241
352,"Melhase (1925, p. 809)",222
352,"Wilson (1928, p. 37-48)",251
352,"Stewart (1955, p. 28-29)",240
352,"Stewart (1961, p. 42-45)",242
353,"Wilson (1928, p. 56-57)",251
353,"Stewart (1956, p. 17-19)",241
354,"Stewart (1955, p. 28, 30-31)",240
354,"Stewart (1961, p. 42-45)",242
354,"Li (1975)",220
355,"Stewart (1955, p. 80-82)",240
356,"Stewart (1955, p. 32, 34)",240
357,"Bromfield and Shride (1956, p. 669)",199
358,"Bromfield and Shride (1956, p. 668)",199
359,"Bromfield and Shride (1956, p. 668-669)",199
360,"Stewart (1955, p. 35-36)",240
361,"Bromfield and Shride (1956, p. 668)",199
362,"Wilson (1928, p. 61-62)",251
362,"Stewart (1955, p. 50-53)",240
362,"Bromfield and Shride (1956, p. 664-667)",199
363,"Bromfield and Shride (1956, p. 669-670)",199
364,"Bromfield and Shride (1956, p. 671-672)",199
364,"Stewart (1956, p. 32-33)",241
365,"Stewart (1956, p. 38-39)",241
366,"Bejnar (1952, p. 99)",198
367,"Stewart (1955, p. 113)",240
368,"Wilson (1928, p. 85-86)",251
368,"Peterson (1960)",231
369,"Stewart (1955, p. 108-109)",240
370,"Stewart (1955, p. 106)",240
370,"Bromfield and Shride (1956, p. 672-673)",199
371,"Stewart (1955, p. 111-113)",240
372,"Stewart (1955, p. 111-112)",240
373,"Stewart (1955, p. 110-112)",240
374,"Stewart (1955, p. 111-112)",240
375,"Bromfield and Shride (1956, p. 672)",199
376,"Wilson (1928, p. 62-63)",251
376,"Stewart (1955, p. 100-105)",240
376,"Bromfield and Shride (1956, p. 673-676)",199
377,"Wilson (1933, p. 143)",252
377,"Gilbert and Spencer (1992)",213
378,"Stewart (1956, p. 40-41)",241
379,"Stewart (1955, p. 108)",240
380,"Stewart (1955, p. 107-108)",240
381,"Stewart (1955, p. 106)",240
381,"Bromfield and Shride (1956, p. 676-677)",199
382,"Stewart (1955, p. 104)",240
382,"Bromfield and Shride (1956, p. 677-679)",199
383,"Bromfield and Shride (1956, p. 679)",199
384,"Wilson (1928, p. 86)",251
385,"Stewart (1955, p. 109)",240
386,"Anonymous (1918, p. 20)",194
387,"Wilson (1928, p. 92-93)",251
387,"Hillebrand (1953, p. 75-76, 83)",215
387,"Stewart (1955, p. 118-119)",240
388,"Cooper and Silver (1964, p. 146)",203
389,"Wilson (1951, p. 23-27)",253
389,"Stewart (1955, p. 119-121)",240
390,"Reeves and Kral (1955, p. 25-28)",236
390,"Castor and Ferdock (2004, p. 389)",202
391,"Faust and Callaghan (1948)",209
391,"Vitaliano (1951, p. 13-16)",250
391,"Faust and Fahey (1962, p. 10)",95
391,"Hose and others (1976, p. 50-51)",216
392,"Castor and Ferdock (2004, p. 440)",202
393,"Crawford and Buranek (1943, p. 12-13)",205
394,"Perry and McCarthy (1977, p. 45)",230
394,"U.S. Geological Survey (2007, Deposit ID number 10011337)",249
395,"Crawford and Buranek (1942)",204
