Site_ID|Name|WGS84_Lat|WGS84_Lon|Commod_gp|Src_Rec_No|Record_tp|Country|State|Ref_no
54533|CERRO RICO|-28.61|-65.25|Fe, Ti; Cu, Ni, Zn|7||Argentina||33
54537|CERRO SAN LORENZO|-32.36|-64.58|Cu, Cr, Ni; Au, PGE|11||Argentina||33
54538|FIAMBALA|-27.75|-67.50|Cr, Cu, Ni; PGE|12||Argentina||33
54539|LAS AGUILAS|-33.10|-66.10|Ni, Cu; PGE, Co|13||Argentina||33
54540|LAS HIGUERAS|-33.08|-66.11|Cu, Ni, Co|14||Argentina||33
54541|RODEIRO Y OTRAS|-29.10|-68.48|Cr, Ni|15||Argentina||33
54542|SAN JOSE Y OTRAS|-29.06|-68.48|Cr, Ni|16||Argentina||33
54543|VIRORCO|-32.66|-65.83|Cu, Ni|17||Argentina||33
54822|SALAMANCA-BARRERA|-33.36|-69.46|Cu; Co, Ni, Au|296||Argentina||33
54940|BOLSITA|-28.40|-67.93|Co, Ni, Au, Ag|414||Argentina||33
54942|KING TUT|-28.40|-67.93|Au, Co; Ag, Ni, Cu|416||Argentina||33
54943|LA ARAGONESA|-29.01|-67.68|Pb, Zn, Ag, Co, Ni|417||Argentina||33
54945|LA NIQUELINA|-22.38|-65.23|Ni, Pb, Zn, Cu, U|419||Argentina||33
54947|San Santiago|-28.41|-68.38|Ni, Co, U, Cu; Zn, Pb|421||Argentina||33
55040|Zlatogorka|53.11|68.09|Cu, Ni, Au, Pt, Cr|12||Kazakhstan||34
55118|Zhezdy|48.11|67.16|Ni, Co|90||Kazakhstan||34
55156|Bozshakol|51.85|74.34|Cu, Mo, Au, Co, Ag, Zn, Pb, Pt, Bi, P|128||Kazakhstan||34
55161|Zhamanbuqunbai|51.21|74.86|Ni, Co|133||Kazakhstan||34
55162|Buruncheku|51.08|74.56|Ni, Co|134||Kazakhstan||34
55168|Balaarkalyk|51.35|75.22|Ni, Co|140||Kazakhstan||34
55169|Adilbek|51.43|75.34|Ni, Co|141||Kazakhstan||34
55170|Promezhutochnoe|51.51|75.49|Ni, Co|142||Kazakhstan||34
55171|Tsentral'noe|51.54|75.54|Ni, Co|143||Kazakhstan||34
55172|Angrensor|51.57|75.56|Ni, Co, Fe|144||Kazakhstan||34
55228|Entakan|49.39|73.81|Ni, Co|200||Kazakhstan||34
55229|Kenespai|49.33|73.52|Ni, Co|201||Kazakhstan||34
55297|Klych South|47.92|71.07|Fe, Mn, Cu, Ni, Pb, Zn|269||Kazakhstan||34
55298|Tiuiak|47.89|71.38|Fe, Mn, Cu, Ni, Pb, Zn|270||Kazakhstan||34
