stationname,latdeg,latmin,londeg,lonmin,elevation,observedgravity,freeairanomaly,simplebougaranomaly,innerterraincorrection,totalterraincorrection,correctionextent,completebougaranomaly,isostaticresidualanomaly
SPIKES78,36,57.57,122,14.58,-282.8,979918.04,-9.82,3.52,0.00,3.75,,7.27,-30.19
SPIKES79,36,56.97,122,13.70,-284.8,979918.46,-8.72,4.71,0.00,3.77,,8.48,-28.82
SPIKES80,36,56.28,122,12.70,-284.9,979920.13,-6.06,7.37,0.00,3.89,,11.26,-25.87
SPIKES81,36,55.50,122,11.67,-293.7,979917.27,-8.62,5.23,0.00,3.78,,9.01,-28.08
SPIKES82,36,54.97,122,10.67,-296.6,979909.51,-15.88,-1.91,0.00,3.79,,1.88,-34.65
SOUTO001,36,33.58,121,57.29,-99.0,979890.90,14.99,19.65,0.00,4.29,,23.94,-11.98
SOUTO002,36,33.66,121,57.45,-76.0,979889.96,16.10,19.68,0.00,4.19,,23.87,-12.46
SOUTO003,36,34.02,121,58.01,-65.0,979890.08,16.73,19.78,0.00,4.62,,24.40,-13.39
SOUTO004,36,34.11,121,58.28,-105.0,979892.33,15.09,20.03,0.00,4.56,,24.59,-13.91
SOUTO005,36,33.90,121,58.19,-83.0,979890.90,16.03,19.93,0.00,4.33,,24.26,-14.05
SOUTO006,36,33.78,121,57.93,-84.0,979890.90,16.11,20.05,0.00,4.20,,24.25,-13.36
SOUTO007,36,33.62,121,57.70,-106.0,979891.65,15.02,20.00,0.00,4.18,,24.18,-12.83
SOUTO008,36,33.42,121,57.41,-105.0,979891.02,14.78,19.71,0.00,4.38,,24.09,-12.18
SOUTO009,36,33.44,121,56.93,-112.0,979890.83,13.90,19.16,0.00,4.07,,23.23,-11.75
SOUTO010,36,33.75,121,56.84,-41.0,979887.14,16.44,18.34,0.00,3.91,,22.25,-12.44
SOUTO011,36,33.82,121,56.84,-34.0,979886.90,16.76,18.33,0.00,3.93,,22.26,-12.42
SOUTO012,36,33.71,121,56.50,-49.0,979887.08,15.69,17.96,0.00,3.94,,21.90,-11.90
SOUTO013,36,33.52,121,56.53,-62.0,979887.90,15.56,18.44,0.00,3.92,,22.36,-11.55
SOUTO014,36,33.53,121,56.13,-32.0,979885.83,16.29,17.75,0.00,4.01,,21.76,-11.11
SOUTO015,36,33.54,121,56.53,-58.0,979887.58,15.58,18.31,0.00,3.91,,22.22,-11.69
SOUTO016,36,33.33,121,56.26,-45.0,979886.64,16.17,18.28,0.00,3.97,,22.25,-10.99
SOUTO017,36,33.29,121,55.92,-26.0,979884.90,16.27,17.49,0.00,3.97,,21.46,-10.92
SOUTO018,36,33.05,121,55.85,-26.0,979884.77,16.49,17.70,0.00,3.95,,21.65,-10.58
SOUTO019,36,33.05,121,56.12,-44.0,979886.27,16.30,18.36,0.00,3.87,,22.23,-10.70
SOUTO020,36,32.81,121,55.93,-20.0,979884.96,17.59,18.52,0.00,3.90,,22.42,-10.06
SOUTO021,36,32.84,121,56.34,-70.0,979888.90,16.78,20.07,0.00,4.21,,24.28,-9.26
SOUTO022,36,32.63,121,56.16,-26.0,979886.71,19.04,20.25,0.00,4.06,,24.31,-8.79
SOUTO023,36,32.37,121,56.16,-92.0,979889.96,16.45,20.77,0.00,4.22,,24.99,-8.15
SOUTO024,36,32.15,121,56.00,-109.0,979890.40,15.61,20.73,0.00,4.52,,25.25,-7.50
SOUTO025,36,32.18,121,55.78,-44.0,979886.90,18.18,20.23,0.00,4.14,,24.37,-7.80
SOUTO026,36,31.92,121,55.84,-252.0,979897.02,9.11,20.97,0.00,5.01,,25.98,-6.36
SOUTO027,36,31.48,121,55.66,-35.0,979885.96,19.10,20.70,0.00,4.72,,25.42,-6.57
SOUTO028,36,31.62,121,56.15,-145.0,979891.83,14.42,21.20,0.00,5.13,,26.33,-6.89
SOUTO029,36,31.32,121,56.27,-69.0,979889.08,19.25,22.44,0.00,4.68,,27.12,-6.49
SOUTO030,36,31.46,121,56.64,-111.0,979891.15,17.17,22.34,0.00,5.14,,27.48,-7.08
SOUTO031,36,31.59,121,56.33,-145.0,979892.52,15.15,21.92,0.00,4.68,,26.60,-7.10
SOUTO032,36,31.68,121,56.72,-245.0,979896.83,9.92,21.41,0.00,5.53,,26.94,-7.76
SOUTO033,36,31.67,121,56.98,-202.0,979895.39,12.54,22.00,0.00,5.74,,27.74,-7.67
SOUTO034,36,31.48,121,56.98,-144.0,979893.33,16.21,22.93,0.00,5.64,,28.57,-6.90
SOUTO035,36,33.47,121,58.32,-155.0,979893.33,12.31,19.56,0.00,4.46,,24.02,-14.75
SOUTO036,36,33.34,121,57.96,-144.0,979892.40,12.60,19.33,0.00,4.83,,24.16,-13.64
SOUTO037,36,33.29,121,57.65,-161.0,979893.02,11.70,19.24,0.00,4.58,,23.82,-13.13
SOUTO038,36,33.21,121,57.13,-170.0,979892.08,10.02,17.99,0.00,4.48,,22.47,-13.08
SOUTO039,36,33.31,121,56.85,-118.0,979889.77,12.46,17.98,0.00,4.05,,22.03,-12.76
SOUTO040,36,33.38,121,56.73,-87.0,979888.52,14.03,18.09,0.00,3.96,,22.05,-12.41
SOUTO041,36,33.47,121,56.63,-73.0,979887.58,14.27,17.67,0.00,4.02,,21.69,-12.50
SOUTO042,36,33.43,121,56.42,-60.0,979886.96,14.93,17.72,0.00,4.02,,21.74,-11.90
SOUTO043,36,33.35,121,56.53,-71.0,979887.46,14.51,17.82,0.00,3.98,,21.80,-12.14
SOUTO044,36,33.26,121,56.65,-91.0,979888.40,13.70,17.96,0.00,4.00,,21.96,-12.31
SOUTO045,36,33.18,121,56.80,-133.0,979889.71,11.18,17.42,0.00,4.33,,21.75,-12.93
SOUTO046,36,33.10,121,56.67,-120.0,979890.02,12.83,18.46,0.00,3.99,,22.45,-11.90
SOUTO047,36,33.14,121,56.54,-89.0,979888.40,14.06,18.23,0.00,3.94,,22.17,-11.84
